fund,period,period_original,year,quarter,return_quarterly,dnb_reporter,source_return_post,used_ter_year,asset_management_costs,transaction_costs,ter_annual,ter_quarterly,source_type,confidence,notes,return_after_ter,ter_missing_policy_applied,rf,equity,duration,credit,real_estate,fx,excess_return_after_ter
Vopak,2019Q3,2019K3,2019,3,0.048,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2019,0.0034999999999999,0.0009,0.0043999999999999,0.001098189644454406,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.046901810355545595,exact,-0.0012400687101794,0.0536022712172916,0.094799006208077,0.0132979677202573,0.0911375390458155,0.0378290444288265,0.04814187906572499
Vopak,2019Q4,2019K4,2019,4,-0.006,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2019,0.0034999999999999,0.0009,0.0043999999999999,0.001098189644454406,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.007098189644454406,exact,-0.0014970173317031,0.0510668185150443,-0.0644982765116533,-0.0027317634207238,0.0545265579031121,-0.0237219935825969,-0.005601172312751306
Vopak,2020Q1,2020K1,2020,1,-0.062,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2020,0.0034999999999999,0.0008,0.0043,0.0010732708977265748,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.06307327089772657,exact,-0.0012799637516587,-0.1764067429361289,0.0153300669902549,-0.0575815727092018,-0.2465047633118007,0.0153388765636626,-0.06179330714606787
Vopak,2020Q2,2020K2,2020,2,0.081,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2020,0.0034999999999999,0.0008,0.0043,0.0010732708977265748,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.07992672910227343,exact,-0.0010252609778073,0.1432012787512874,0.0310797960261669,0.0523887323370836,0.0841891758205936,-0.0196488154253537,0.08095199008008072
Vopak,2020Q3,2020K3,2020,3,0.022,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2020,0.0034999999999999,0.0008,0.0043,0.0010732708977265748,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.020926729102273424,exact,-0.0018034029078612,0.0446876209119437,0.0415412553926284,0.0181564430781715,0.0176516705760716,-0.0439974744661726,0.022730132010134622
Vopak,2020Q4,2020K4,2020,4,0.044,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2020,0.0034999999999999,0.0008,0.0043,0.0010732708977265748,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.04292672910227342,exact,-0.0015863474607458,0.0858294541791246,0.0311241577684131,0.0213146144823068,0.1019134321776182,-0.0475083822794561,0.04451307656301922
Vopak,2021Q1,2021K1,2021,1,-0.013,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2021,0.0034999999999999,0.0009,0.0043999999999999,0.001098189644454406,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.014098189644454405,exact,-0.0013019827850938,0.1033324912729073,-0.056532276848394,-0.0048335363425313,-0.0306890538646433,0.0468534249359438,-0.012796206859360604
Vopak,2021Q2,2021K2,2021,2,0.026,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2021,0.0034999999999999,0.0009,0.0043999999999999,0.001098189644454406,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.024901810355545593,exact,-0.001738165281469,0.0663035012246201,-0.0129520287161021,0.0020343503563978,0.1027031492099125,-0.015210679332861,0.026639975637014594
Vopak,2021Q3,2021K3,2021,3,0.011,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2021,0.0034999999999999,0.0009,0.0043999999999999,0.001098189644454406,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.009901810355545593,exact,-0.0013871216656898,0.0312826477479376,0.0045014001546673,0.0012180052475819,-0.0158254007556226,0.0252334195474166,0.011288932021235393
Vopak,2021Q4,2021K4,2021,4,0.024,Vopak,Kwartaalrendement beleggingen risico fonds (in percentages),2021,0.0034999999999999,0.0009,0.0043999999999999,0.001098189644454406,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.022901810355545595,exact,-0.0014259138650168,0.0983704049335391,-0.0010765871311874,-0.0028100547443741,0.0425503043128291,0.0238392853197897,0.024327724220562393
