pair,fund_1,fund_2,alpha_quarterly,alpha_annualized,t_alpha,p_alpha,r2,n_obs,beta_equity,beta_duration,beta_credit,beta_real_estate,beta_fx,p_alpha_holm
BPF Foodservice minus Citigroup Nederland,BPF Foodservice,Citigroup Nederland,0.006368133805020235,0.025716888624574663,2.2073969754878613,0.027286337500150096,0.7868077727644825,40,-0.1659502950426418,0.3093484527726468,-0.12259202585068615,0.07055664937079877,0.39072212219882385,1.0
BPF Foodservice minus Cargill,BPF Foodservice,Cargill,0.004479313044201944,0.018037997547613482,2.2587379384158,0.02389969104807735,0.5964426674711012,39,-0.05842294653019357,0.09576478882831362,0.31930364465490046,-0.0038995197998940596,0.13234154359784397,1.0
BPF Foodservice minus Cap Gemini Nederland,BPF Foodservice,Cap Gemini Nederland,0.0033720811367558426,0.013556703638289314,2.8258236021707606,0.004715922638332373,0.5137883903995573,40,-0.10122682751723924,0.04245062678984192,0.17619750007373375,0.020944161909169166,0.18413410165864674,1.0
BPF Foodservice minus Campina,BPF Foodservice,Campina,0.0044481731075161155,0.017911762336080272,2.0327513120683323,0.042077654344561566,0.836971593900891,40,-0.13320530340411224,0.39832952625393225,-0.008254785433822243,-0.038161714766943286,0.2132465618201595,1.0
BPF Foodservice minus Calpam,BPF Foodservice,Calpam,0.0045339109014993,0.018259354919539117,1.2632189504290887,0.20651050426102247,0.7932119217946526,40,-0.057254347076479466,0.5678387466467547,-0.15182561949442092,0.0060068750532313205,0.006212027341035049,1.0
BPF Foodservice minus CRH,BPF Foodservice,CRH,0.006935631714303667,0.028032481593187164,1.8982767958085056,0.057659629017575424,0.7193757839636062,40,-0.2077402405890456,0.3443681532342654,0.1762973468122672,-0.00039946378375856073,0.4022946272218411,1.0
BPF Foodservice minus Brocacef,BPF Foodservice,Brocacef,0.005062206140301358,0.020403099698916627,2.2949569554405587,0.021735591243745713,0.7952585202014424,40,-0.16056206317169977,0.2871932979209385,0.27494609633768813,-0.031268270811675464,0.3231817113113645,1.0
BPF Foodservice minus British American Tobacco,BPF Foodservice,British American Tobacco,0.004285978875091917,0.017254448454443017,1.6783876020203725,0.09327145634491592,0.8355878361233253,40,-0.09950754693689774,0.3434137200761787,0.6903068635978036,-0.02774195739900548,0.2229503537149,1.0
BPF Foodservice minus Bouwnijverheid,BPF Foodservice,Bouwnijverheid,0.00328991410532171,0.013224740181357886,1.273125042369816,0.2029736739149477,0.6711855867349228,40,-0.09740611444398706,0.2628324355248321,0.48556225045232,-0.05804459190676834,0.12792941901558028,1.0
BPF Foodservice minus Bouwmaterialen,BPF Foodservice,Bouwmaterialen,0.003676089826148251,0.01478564001503635,1.9236819494599275,0.05439446195131235,0.4452375303517614,40,-0.08479365080563077,0.06554800384093287,0.29986757903494754,-0.012174625962610094,0.08362258570370508,1.0
